"puesto","empresa","nivel","area","fecha","detalle","link","departamento","fecha_scraping"
"DOCENTE EN RECURSOS HUMANOS","Instituto educativo","Profesional","Educación - Recreación - Deportes","Hace 3 semanas ","Se requiere docente, excluyente profesional en el área de Recursos humanos, buena presencia, comunicación, y manejo de grupos.
Se valora experiencia en la  ...","https://trabajo.gallito.com.uy/anuncio/docente-en-recursos-humanos-dppmz","montevideo",2019-11-10 20:09:42
"ASISTENTE DE LABORATORIO","  ","Asistente","Administración - Secretariado","Hace 3 semanas ","Seleccionamos Asistente de Laboratorio. Se trata de una suplencia para desempeñarse en empresa del rubro metalúrgico.

La posición implica:

- Controles de ...","https://trabajo.gallito.com.uy/anuncio/asistente-de-laboratorio-hv2r4","montevideo",2019-11-10 20:09:42
"GESTOR DE MOROSOS","GRUPO MORGAN SRL","Auxiliar","Teleoperadores - Call Center","Hace 3 semanas ","Gestionar Morosos a través de distintos canales : Teléfono, Redes, etc. Cumplir objetivos  y metas tanto individuales como en equipo.","https://trabajo.gallito.com.uy/anuncio/gestor-de-morosos-bnypt","montevideo",2019-11-10 20:09:42
"DIRECTOR DE OBRA","JDVA ARQUITECTOS","Profesional","Construcción - Arquitectura","Hace 3 semanas ","Arquitecto/a con experiencia en Dirección de Obras, control de calidad, planificación y coordinación de tareas y proveedores. Locomoción propia deseable (n ...","https://trabajo.gallito.com.uy/anuncio/director-de-obra-25rga","montevideo",2019-11-10 20:09:42
"INSTALADORES DE MUEBLES","","Oficial","Servicios - Oficios","Hace 3 semanas "," Con experiencia mínima de 2 años en el rubro.","https://trabajo.gallito.com.uy/anuncio/instaladores-de-muebles-7bb4g","montevideo",2019-11-10 20:09:42
"CHOFER CON LIBRETA D O C","Importante empresa","Peon","Servicios - Oficios","Hace 3 semanas ","Seleccionamos para Centro Logístico ubicado en proximidades de Piedras Blancas: CHOFER con libreta D o C (para zafra de 3 meses)
Se requiere de experiencia ...","https://trabajo.gallito.com.uy/anuncio/chofer-con-libreta-d-o-c-tauzj","montevideo",2019-11-10 20:09:42
"CAJERA","","Auxiliar","Ventas - Comercial","Hace 3 semanas "," Con experiencia","https://trabajo.gallito.com.uy/anuncio/cajera-7q8j7","montevideo",2019-11-10 20:09:42
"CORTADOR","","Técnico / Especialista","Servicios - Oficios","Hace 3 semanas "," o ayudante de cortador para Carnicería

Con experiencia.","https://trabajo.gallito.com.uy/anuncio/cortador-36a3b","montevideo",2019-11-10 20:09:42
"CONFITERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Con experiencia en el rubro

Para importante confitería en zona Malvin

","https://trabajo.gallito.com.uy/anuncio/confitero-5m66z","montevideo",2019-11-10 20:09:42
"ADMINISTRATIVO","Mutualista Hospital Evangélico","Profesional","Arte - Diseño - Comunicación","Hace 3 semanas ","Se valorará: 
- Disponibilidad horaria. 
- Buen comunicador. 
- Buena presencia.
- Facilidad para desarrollar tareas periodísticas. 
- Referencias laborale ...","https://trabajo.gallito.com.uy/anuncio/administrativo-pbebe","montevideo",2019-11-10 20:09:42
"AUXILIAR DE SERVICIO","Mutualista Hospital Evangélico","Auxiliar","Servicios - Oficios","Hace 3 semanas ","Se valorará: 
- Experiencia en el área mutual u hospitalaria. 
- Referencias laborales adjuntas. 

Presentar: CV con foto y fotocopias del título habilitad ...","https://trabajo.gallito.com.uy/anuncio/auxiliar-de-servicio-np7dm","montevideo",2019-11-10 20:09:42
"LICENCIADOS Y AUXILIARES DE ENFERMERÍA","Mutualista Hospital Evangélico","Técnico / Especialista","Salud","Hace 3 semanas ","Se Valorará: 
- Disponibilidad Horaria. 
- Capacidad en trabajo en equipo. 
- Vocación de servicio. 
- Referencias laborales acreditadas. 

Adjuntar CV con ...","https://trabajo.gallito.com.uy/anuncio/licenciados-y-auxiliares-de-enfermeria-uet95","montevideo",2019-11-10 20:09:42
"SEÑORA PARA LIMPIEZA","Apartamento pequeño","Auxiliar","Servicios - Oficios","Hace 3 semanas ","Limpieza general y mantenimiento 2 o 3 veces por semana. Persona detallista, prolija y responsable.
Con experiencia y referencias comprobables.
","https://trabajo.gallito.com.uy/anuncio/senora-para-limpieza-dq4zh","montevideo",2019-11-10 20:09:42
"CORTADOR","","Técnico / Especialista","Servicios - Oficios","Hace 4 semanas "," CORTADOR de carniceria para supermercado zona Buceo.","https://trabajo.gallito.com.uy/anuncio/cortador-eymy4","montevideo",2019-11-10 20:09:42
"CARNICERIA/FIAMBRERÍA/PANADERO","TejaCenter","Oficial","Producción","Hace 4 semanas ","Cortador Carnicería
Fiambrería
Panadería -
","https://trabajo.gallito.com.uy/anuncio/carniceria-fiambreria-panaderia-se4jh","montevideo",2019-11-10 20:09:42
