"puesto","ID","fechaScraping","empresa","barrioCiudad","dpto","area","puestos","jornada","detalles","subareas","requisitos","fpub","dia"
"Administrativo Comercial","www.buscojobs.com.uy/administrativo-comercial-ID-164720",2019-01-24 01:51:25,"Encofrados Alsina del Uruguay","CiudaddelaCosta","Canelones","Administración de Empresas",1,"Completa","Sera responsable de gestionar íntegramente las tareas administrativas de una zona comercial asignada.Tendrá como principales tareas:•	Atención al cliente•	Presupuestos•	Pedidos•	Facturacion•	Gestión de Cobranza•	Gestión de fichas de alquiler•	Otras tareas administrativas y apoyo al departamento comercial","Administración – Secretariado / Administración de Empresas
									
										Administración – Secretariado / Auxiliar Administrativo
									
										Administración – Secretariado / Facturación / Cobros / Pagos
									
										Administración – Secretariado / Administración Contable y Financiera
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Caja y/o Facturación
									
										ERP (Enterprise Resource Planning)
									
										Gestión de cuentas
									
										Administración
									
										Microsoft Office
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							Edad: Desde 20 Hasta 30 Años
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Asistente Junior de Procesos Comerciales","www.buscojobs.com.uy/asistente-junior-de-procesos-comerciales-ID-164756",2019-01-24 01:51:25,"Advice",NA,"Montevideo","Auditoría",NA,"Completa","Empresa en el rubro de las Telecomunicaciones selecciona:Buscamos:Estudiantes avanzados o recibidos de la carrera de Contador Público con dominio de Excel a nivel avanzado (excluyente).Se requiere contar con experiencia en tareas de auditoría de procesos. Se valorará poseer conocimientos de Inglés a nivel intermedio. Horario de trabajo de lunes a viernes de 9 a 18 horas.Objetivos de la Posición:Será responsable de la evaluación y auditoría continua de los procesos existentes. Se encargará de identificar y detectar anomalías, establecerá controles y buscará propuestas de mejora. Capacitará a usuarios en la implementación de nuevos procesos.Hará revisión de información, unificando criterios y elaborando reporting varios.","Contabilidad – Auditoría – Finanzas / Auditoría
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Análisis de Datos
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Auxiliar de Ventas - San Carlos - por SUPLENCIA","www.buscojobs.com.uy/auxiliar-de-ventas-san-carlos-por-suplencia-ID-164751",2019-01-24 01:51:25,"Pagnifique","SanCarlos","Maldonado","Atención al Cliente",1,"Completa","Principales responsabilidades:• Realizar la atención al público y venta de productos de las panaderías Pagnifique ubicadas en las principales cadenas de supermercados.• Hornear los productos de acuerdo al plan de horneado de cada local, para asegurar la disponibilidad de producto y minimizar los desperdicios.• Realizar la correcta manipulación de los productos de acuerdo a las normas de manipulación de alimentos, así como el seguimiento de los procedimientos internos para la cocción de los mismos.• Mantener el orden del local, así como el cumplimiento de los lineamientos del manual de limpieza, incluyendo su cronograma.• Recepcionar y controlar la mercadería recibida.• Dar apoyo en la realización del recuento físico de productos, así como en completar los diferentes registros relativos a la documentación necesaria a enviar a la administración.Competencias: Orientación a resultados, Iniciativa, Innovación, Trabajo en equipo, Orientación al cliente, Adherencia a las normas, Orientación a la calidad y a la productividad.Experiencia y formación:• Educación secundaria (deseable bachillerato completo)• No se requiere experiencia específica previa.Otros:• La posición implica trabajar 8 horas diarias en el horario de 15.00 a 23.00, sábados y domingos inclusive, con descanso semanal fijo durante la semana.• Propuesta a término por Suplencia","Atención al Cliente / Atención al Cliente
									
										Supermercados – Autoservices / Panadería
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Limpieza en General
									
										atención al cliente
									
										Panadería
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							Edad: Desde 18 Hasta 65 Años
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Oficial Mantenimiento Industrial y Edilicio","www.buscojobs.com.uy/oficial-mantenimiento-industrial-y-edilicio-ID-164721",2019-01-24 01:51:25,"(Confidencial)","Maldonado","Maldonado","Albañil",NA,"Completa","La búsqueda se orienta a candidatos que posean formación técnica específica en electricidad, electromecánica, electrónica, mecánica, hidráulica, neumática, soldadura, así como en sistemas de climatización y enfriamiento.Los interesados deberán contar con conocimientos de sistemas termo-mecánicos, aire acondicionado y cámaras de frío, así como mantenimiento Industrial en general. También deberán poseer conocimientos informáticos a nivel usuario.Los candidatos deberán poseer amplia experiencia en mantenimiento industrial y edilicio en general.Los postulantes deberán contar con libreta de conducir y residencia en las ciudades de Maldonado o San Carlos.Se trata de una oportunidad para incorporarse a una importante y reconocida empresa en el Departamento de Maldonado.","Oficios – Servicios Varios / Albañil
									
										Oficios – Servicios Varios / Carpintería
									
										Oficios – Servicios Varios / Electricidad
									
										Oficios – Servicios Varios / Sanitaria
									
										Mantenimiento General / Mantenimiento General
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Electricidad
									
										Refrigeración / Calefacción
									
										Electromecánica
									
										Mantenimiento Industrial
									
										Mantenimiento General
									
										Electrotecnia
									
										Aire Acondicionado
									
										Mecánica
									
										Sanitaria
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							Edad: Desde 20 Hasta 50 Años
							
							
							
								Sexo: Masculino
							
						

						
					
					
				",2019-01-23,"miércoles"
"Supervisor de instalaciones","www.buscojobs.com.uy/supervisor-de-instalaciones-ID-164749",2019-01-24 01:51:25,"Randstad Uruguay ",NA,"Montevideo","Administración Contable y Financiera",NA,"Completa","Para nuestro importante cliente de rubro comunicaciones nos encontramos en la búsqueda de candidatos para la supervicion de equipos de trabajo en el rubro de instalaciones de comunicaciones.Relevar recaudo ( pliegos, planos ) para la presupuestación de instalaciones de cableado estructurado y eléctrica. Supervisar cuadrillas internas y externas en el marco del despliegue de obras de cableado y montajes. Liquidar los trabajos ejecutados y enviar los detalles al área comercial para su facturación.?	Experiencia en cableado estructurado y/o telefonía y/o eléctrica.?	Experiencia en instalaciones de Fibra Óptica, fusiones y mediciones. ?	Manejo de instrumental de certificación de cableado UTP?	Experiencia en montaje de Racks y equipamiento de comunicaciones?	Experiencia en relevamientos y presupuestación de instalaciones de cableado estructurado y eléctrico?	Experiencia en supervisión y seguimiento de obras de instalación, control de cuadrillas?	Lectura e interpretación de planos, manejo de AutoCAD ( se valorará )?	Disponibilidad horaria y para viajes programados al interior?	Buen manejo de herramientas ofimáticas ( Excel, Word, etc )?	Libreta de conducir.?	Formación UTU, ORT, IEC o similar.Remuneración acorde a las responsabilidades.","Administración – Secretariado / Administración Contable y Financiera
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Actualización e Instalación de Software
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Tester Jr","www.buscojobs.com.uy/tester-jr-ID-164753",2019-01-24 01:51:25,"(Confidencial)",NA,"Montevideo","Testing de Sistemas",1,"Completa","Objetivo:Llevar adelante las tareas de Testing requeridas para el trabajo producido.Principales responsabilidades:Diseñar, ejecutar y documentar, las pruebas determinadas por el reporte.Realizar tareas de UAT de productos entregados por proveedores.","Tecnologías de la Información / Testing de Sistemas
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Testing Unitario
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							Edad: Desde 18 Hasta 70 Años
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Jefe de RRHH","www.buscojobs.com.uy/jefe-de-rrhh-ID-164748",2019-01-24 01:51:25,"Advice","Montevideo","Montevideo","Administración de Personal",NA,"Indiferente","Importante empresa de Agronegocios ubicada en el este del país:Buscamos:Profesionales egresados de carreras de Psicología, Recursos Humanos, Relaciones Laborales o carreras afines. Se valora postgrado o especialización en Recursos Humanos. Experiencia de tres a cinco años en áreas de RRHH dentro de empresas industriales, con supervisión de equipos, liderando toda la gestión del sector y con experiencia en manejo de sindicato. La posición implica radicarse en la zona este del país.Objetivos de la posición:Será responsable por la planificación, dirección y coordinación de las actividades orientadas a la gestión del Capital Humano de la organización. Las mismas incluyes;Trabajar junto con la Gerencia en el dimensionamiento de plantilla y la optimización de recursos.Poner foco en la gestión de RRHH y la negociación con el sindicato.Diseñar e implantar los procedimientos que hagan falta en cuanto a las diferentes áreas (selección, formación, desarrollo, organización, etc.).Supervisar la Gestión y Administración de Personal con apoyo del área contable/contador. Gestionar la implantación de herramientas informáticas para las diferentes áreas de Recursos Humanos y realizar reporte periódico del desarrollo de su actividad Crear un plan de comunicación interna, entre otras.","Recursos Humanos / Administración de Personal
									
										Recursos Humanos / Capacitación de Personal
									
										Recursos Humanos / Evaluación de Personal
									
										Recursos Humanos / Organización Interna
									
										Recursos Humanos / Prevención de Riesgos Laborales
									
										Recursos Humanos / Pruebas Psicotécnicas
									
										Recursos Humanos / Selección de Personal
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Gestión de Recursos
									
										Recursos humanos
									
								Estudio Mínimo Necesario: Terciario Completo
							
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Encargada de Financiera	","www.buscojobs.com.uy/encargada-de-financiera-ID-164730",2019-01-24 01:51:25,"Rápido","TreintayTres","TreintayTres","Administración de Capitales",1,"Completa","Se necesita encargado de casa de crédito, con experiencias y referencias en el sector (detalladas en el curriculum), conocimientos de ventas de créditos, gestión de morosos y manejo de financiera. Buscamos persona pro activa con afán de superación, responsable y buena presencia.  CURRICULUM CON FOTO","Banca – Servicios Financieros / Administración de Capitales
									
										Banca – Servicios Financieros / Créditos
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Gestión de Morosos
									
										Administración
									
										Venta de productos financieros
									
										Auxiliar Contable
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							Edad: 30 Años
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Encargado de sistemas","www.buscojobs.com.uy/encargado-de-sistemas-ID-164745",2019-01-24 01:51:25,"Randstad Uruguay ",NA,"Montevideo","Administración Contable y Financiera",NA,"Completa","para importante cliente multinacional nos encontramos en la besuqueada de Encargado de sistemas.Los interesados debe contar con experiencia comprobada de 2 años.Estudiantes avanzados o egeresados de la carrera de sistemas y administración de redes.Las tareas a realizar son:Gestionar y administración de red ,dispositivos de seguridad entre otros.Administrador de servidores y configuración de sistemasBrindar soporte a usuariosInstalación y administración de sitio webTelecomunicacionesManejo de proveedores Diagnostico y solución de dificultades del sistema.Disponibilidad para viajar al interior del país. Remuneración al cargo.","Administración – Secretariado / Administración Contable y Financiera
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Sistemas
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Operario de silos - Paysandu","www.buscojobs.com.uy/operario-de-silos-paysandu-ID-164744",2019-01-24 01:51:25,"Randstad Uruguay ",NA,"Paysandú","Administración Contable y Financiera",1,"Completa","Para importante cliente nacional ubicado en el departamento Paysandú nos encontramos en la búsqueda de  operario de Silos para importante planta industrial.Los candidatos interesados deberán contar con los siguientes requerimientos:Ciclo básico CompletoExperiencia comprobada en manejo de plantas de SilosExperiencia y/o conocimiento en recepción de granosManejo de herramientas informáticas, enfoque en Excel /Correo electrónico.Disponibilidad para trabajar en turnos rotativos.Son competencias valoradas :Compromiso y responsabilidadIniciativa y creatividadTrabajo en EquipoPara nuestro importante cliente nacional ubicado en el departamento Paysandú nos encontramos en la búsqueda de perfiles para ocupar la posición d operario de Silos para importante planta industrial.Los candidatos interesados deberán contar con los siguientes requerimientos:Ciclo básico CompletoExperiencia comprobada en manejo de plantas de SilosExperiencia y/o conocimiento en recepción de granosManejo de herramientas informáticas, enfoque en Excel /Correo electrónico.Disponibilidad para trabajar en turnos rotativos.Son competencias valoradas :Compromiso y responsabilidadIniciativa y cratividadTrabajo en EquipoProactiviada y dinamismosHorarios rotativos – Modalidad de descanso rotativa. Proactividad  y dinamismoHorarios rotativos – Modalidad de descanso rotativa.","Administración – Secretariado / Administración Contable y Financiera
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Operario Industrial
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Coordinador de producción-Contrato a termino","www.buscojobs.com.uy/coordinador-de-produccion-contrato-a-termino-ID-164743",2019-01-24 01:51:25,"Randstad Uruguay ","Paysandú","Paysandú","Oportunidad de Negocio",1,"Completa","Para destacado cliente nacional ubicado en el departamento Paysandú nos encontramos en la búsqueda de coordinador de producción forestal.El contrato será a término con una duración de 7 meses.Los candidatos deberán contar con: Bachillerato completo  Experiencia en plantas industriales y /o sector forestalesExperiencia con personas a cargoManejo de herramientas informáticasLas tareas a realizar en la posición son. Supervisión de planta, coordinación de horarios y licencias, Seguimientos de planes de producción, Coordinación de actividades, supervisión de tareas de mantenimiento y limpieza, inventarios de planta, seguimiento de stock de productos.Horarios de Lunes a Viernes de 09:00 a 18:00Remuneración acorde al puesto- Contrato a término por 7 me","Oportunidad de Negocio / Oportunidad de Negocio
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Gestión de Producción
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Vendedor Call Center","www.buscojobs.com.uy/vendedor-call-center-ID-164734",2019-01-24 01:51:25,"(Confidencial)",NA,"Montevideo","Atención al Cliente",6,"Indiferente","Buscamos los MEJORES ASESORES TELEFONICOS, con ganas de HACER CARRERA en nuestra EMPRESA y ganar MUCHO DINERO.Si te gusta alcanzar tus objetivos y tienes un espíritu comercial esta es tu oportunidad de unirte a nuestro equipo de trabajo.Valoramos:  - Actitud emprendedora y  experiencia en el área de Call Center.- Experiencia en venta de Seguros y Servicios.- Que estén dispuestos a Pertenecer a un equipo MOTIVADO y en pleno Crecimiento.* Ofrecemos Excelentes comisiones SIN TOPE, Interesantes Premios e INCENTIVOS en el MEJOR CLIMA LABORAL.Un cómodo horario de Trabajo de Lunes a Viernes en turnos de 6 horas.","Atención al Cliente / Atención al Cliente
									
										Comercio – Mercadeo – Ventas / Comercial / Ventas
									
										Comercio – Mercadeo – Ventas / Venta de Servicios
									
										Teletrabajo – Call Center / Call Center
									
										Teletrabajo – Call Center / Telemarketing
									
										Comercio – Mercadeo – Ventas / Venta de Servicios Financieros
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Telemarketing
									
										Venta de servicios
									
										Venta de productos financieros
									
								Estudio Mínimo Necesario: Ciclo Básico Incompleto
							
							
							Edad: Desde 25 Hasta 50 Años
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Secretaria Administrativa","www.buscojobs.com.uy/secretaria-administrativa-ID-164741",2019-01-24 01:51:25,"Empresa Internacional en el área de Biotecnología",NA,"Montevideo","Administración de Empresas",1,"Completa","Secretaria Administrativa/ Departamento Comercial•	Recepcionista (Atención telefónica y presencial) •	Recepción de consultas y derivación a su área respectiva•	Manejo de sistema contable •	Atención a proveedores/clientes.•	Soporte en organización de eventos y eventual presencia en los mismos •	Soporte a diversas áreas de la organización, comercial, administrativa, etc.Competencias requeridas para el cargo:•	Empatía•	Orientación a resultados•	Trabajo en equipo•	Capacidad de resolución de problemas•	Relacionamiento interpersonal•	Puntualidad•	Buena presencia•	Pro-actividad•	Flexibilidad•	Adaptación al cambioConocimientos académicos excluyentes:•	Secundario completo•	Buen manejo del idioma inglés •	Buen manejo de herramientas informáticas.Se valorara:Estudios terciariosHorario: 10 a 19 horasDisponibilidad de ingreso inmediataInteresadas enviar C.V. URGENTE","Administración – Secretariado / Administración de Empresas
									
										Atención al Cliente / Atención al Cliente
									
										Comercio – Mercadeo – Ventas / Ejecutivo de Cuentas
									
										Comercio – Mercadeo – Ventas / Venta de Servicios
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Atención Telefónica y/o Recepción
									
										Secretariado
									
										Administración
									
								Idiomas: 
							
							Inglés
								
							Estudio Mínimo Necesario: Terciario Incompleto
							
							
							Edad: Desde 25 Hasta 40 Años
							
							
							
								
									Sexo: Femenino
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Estudiantes de RRHH, Comunicación, Contador, Administración,Sociología","www.buscojobs.com.uy/estudiantes-de-rrhh-comunicacion-contador-administracionsociologia-ID-164742",2019-01-24 01:51:25,"Deloitte","Montevideo","Montevideo","Administración de Empresas",NA,"Indiferente","Deloitte es una Firma líder en servicios de Auditoría, Consultoría, Outsourcing, Asesoramiento Impositivo y Legal y Asesoramiento Financiero. Nuestro equipo está formado por profesionales y técnicos de diversas especialidades.En Deloitte asumimos el desafío de generar un impacto que trascienda en quienes más nos importan: nuestros clientes, nuestros profesionales y nuestra sociedad. Aspiramos a ser los líderes indiscutidos en la prestación de servicios profesionales y para eso buscamos a los mejores talentos.Actualmente estamos seleccionando un profesional para integrar nuestro equipo de consultoría de Capital Humano:Estudiantes de las carreras de Recursos Humanos, Comunicación, Contador Público, Administración, Antropología, Sociología o afines. Para postularte deberás acreditar muy buena escolaridad y dominio del idioma inglés.Serán competencias clave de la persona a incorporar:- Excelente relacionamiento interpersonal.- Motivación por el desarrollo profesional.- Trabajo en equipo.- Iniciativa.Nuestra propuesta:- Excelente ambiente laboral, dinámico, de confianza y compromiso mutuo.- Flexibilidad horaria para continuar con tus estudios.- Licencia por estudio extraordinaria.- Jornadas de trabajo part time o completa.- Capacitación, aprendizaje continuo.- Trabajar en equipo y en un entorno desafiante.Nuestro propósito y valores son los que determinan nuestro rol de liderazgo en el mercado al brindar soluciones integrales a nuestros clientes. Inspiramos el desarrollo y crecimiento de nuestros colaboradores en cada nivel de su recorrido profesional.  Conéctate con equipos multidisciplinarios y sé parte de proyectos altamente desafiantes. Valoramos las perspectivas individuales y las integramos en una visión global focalizada en generar impactos que trasciendan.  Adjuntar CV y escolaridad.","Administración – Secretariado / Administración de Empresas
									
										Administración – Secretariado / Administración Contable y Financiera
									
										Contabilidad – Auditoría – Finanzas / Contaduría
									
										Arte – Cultura – Comunicación / Comunicación Institucional
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Administración Contable y Financiera
									
										Administración de Empresas
									
										Antropología
									
										Ciencias de la Comunicación
									
										Administración
									
										Sociología
									
										Auxiliar Contable
									
										Recursos humanos
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							Edad: Desde 19 Hasta 24 Años
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Técnico Instalador de redes","www.buscojobs.com.uy/tecnico-instalador-de-redes-ID-164722",2019-01-24 01:51:25,"Netgate","Montevideo","Montevideo","Administración / Instalación de Redes",1,"Completa","Se buscan técnicos instaladores FTTHEl cargo está orientado a personas con perfil técnico y vocación de servicio.Inicialmente para trabajar solamente los sabados!!Requisitos:-Instalación y configuración de modem/router ADSL o FTTH-Configuración conexión a internet-Configuración de router ( todos los modelos)-Curso de fibra óptica ( no excluyente)-Libreta de conducir ( mayor a 2 años)-Camioneta propio ( no excluyente)","Tecnologías de la Información / Administración / Instalación de Redes
									
										Tecnologías de la Información / Hardware / Reparación PC
									
										Tecnologías de la Información / HelpDesk / Soporte Técnico
									
										Tecnologías de la Información / Operador Internet / Operador PC
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Cableado de Redes
									
										Reparación PC
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							Edad: Desde 20 Hasta 45 Años
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Supervisor Promoción Canal Distribución","www.buscojobs.com.uy/supervisor-promocion-canal-distribucion-ID-164740",2019-01-24 01:51:25,"Advice","Montevideo","Montevideo","Administración Contable y Financiera",1,"Completa","Seleccionamos para Arcor.Buscamos:Estudiante avanzado o graduado de carreras tales como: licenciatura en administración de empresas, economía o afines. Deberá contar con libreta de conducir.Excluyente contar con al menos 2 años de experiencia en cargos de similar responsabilidad, en empresas de consumo masivo, así como conocimientos en el desarrollo de canales de distribución, en grandes superficies (excluyente).Objetivos de la posición:Supervisará el desarrollo y desempeño de tres Promotores en los PDV, con el fin de garantizar el cumplimiento de los lineamientos definidos.Supervisará y desarrollará, mediante capacitaciones a los promotores, a fin de garantizar las exhibiciones deseadas y mantener así los espacios contratados en el PDV, logrando de esa manera cumplir con los acuerdos comerciales de exhibición.Llevará adelante las acciones comerciales definidas, a fin de contribuir con el posicionamiento de las marcas en la zona y los PDV supervisados.","Administración – Secretariado / Administración Contable y Financiera
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Supervisión
									
								Estudio Mínimo Necesario: Terciario Completo
							
							
							Edad: Desde 18 Hasta 60 Años
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"MEDICAL BILLING AGENT","www.buscojobs.com.uy/medical-billing-agent-ID-164547",2019-01-24 01:51:25,"Tradehelm",NA,"Montevideo","Atención al Cliente",1,"Completa","We are looking for a Medical Billing Agent to work as a part of a team for one of our important US-based clients. This is a full-time position located in Montevideo, UruguayJOB SUMMARY:- Responsible for providing quality customer service while performing collection of assigned outstanding and aged account balances- Documents all collection activity; maintains and organizes unit and responds to all correspondence, communication and/or verbal inquiries from all relevant parties- Ensures the quality, integrity and proper work effort of assigned work- Understands and adheres to all policies and procedures, as well as local, state and federal regulations, relevant to their area of operation- Maintains acceptable levels of productivity of all assigned accounts- Utilizes processes and applicable client systems effectively- Records and maintains complete and accurate documentation of all activity performed on appropriate medium- Creates acceptable payment plans for patient or responsible party to be able to live by and fulfill- Informs supervisor/manager regarding operational issues, including client and PFS needs and concerns- Responds to and follows up on all inquiries/requests KNOWLEDGE, SKILLS, ABILITIES: - Effective verbal and interpersonal skills - Phone etiquette and soft skills - Critical thinking and investigative skills- Bilingual in Spanish and English both verbal and written communication - Computer skills- Reading and understanding medical claims- Ability to assess problems and investigate proper course of action- Professional demeanor and attitude- Detailed oriented and a commitment to excellenceEDUCATION / EXPERIENCE High School Diploma1+ year of credit/collections or customer service experienceOr 1+ year of university coursework","Atención al Cliente / Atención al Cliente
									
								","
					
						
							
							
							
							Conocimientos: 
							
								atención al cliente
									
								Idiomas: 
							
							Inglés
								
							Estudio Mínimo Necesario: Secundaria Completa
							
							
							Edad: Desde 18 Hasta 55 Años
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Asistente de Marketing","www.buscojobs.com.uy/asistente-de-marketing-ID-164738",2019-01-24 01:51:25,"OrangeLoops","Montevideo","Montevideo","Desarrollo de Producto / Marca",1,"Indiferente","La búsqueda se orienta a estudiantes de carreras de ciencias de la comunicación o licenciaturas en marketing con disponibilidad para trabajar part time. El candidato seleccionado participará en: - La investigación de mercados y clientes potenciales- En la planificación y ejecución de campañas de marketing para el posicionamiento de productos y servicios de software- El seguimiento y desarrollo de oportunidades comercialesSe requiere un muy buen dominio del idioma inglés. Se valorarán certificaciones de Google, en particular: Google Ads Fundamentals & Search Advertising.","Marketing – Publicidad / Desarrollo de Producto / Marca
									
										Marketing – Publicidad / Investigación de Mercados
									
										Marketing – Publicidad / Marketing
									
										Marketing – Publicidad / Publicidad
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Análisis de Mercado
									
										Publicidad
									
										Ciencias de la Comunicación
									
								Idiomas: 
							
							Inglés
								
							Estudio Mínimo Necesario: Terciario Incompleto
							
							
							Edad: Desde 18 Hasta 30 Años
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Auxiliar /Técnico en Electrónica","www.buscojobs.com.uy/auxiliar-tecnico-en-electronica-ID-164736",2019-01-24 01:51:25,"Codere Uruguay","Montevideo","Montevideo","Electrónica",1,"Completa","El grupo CODERE en Uruguay es accionista de las empresas HRU S.A. y Carrasco Nobile S.A., llevando adelante la gestión de Maroñas Entertainment (5 salas de entretenimiento y slots, el Hipódromo Nacional de Maroñas , el  Hipódromo Las Piedras) y Sofitel Montevideo Casino Carrasco & Spa, empleando a 1.200 funcionarios en total. El grupo se posiciona como líder en la industria del entretenimiento con especial foco en el desarrollo de su capital humano.Si estás interesado/a en la propuesta y cumplis con los requisitos, te invitamos a postularte.Principales Responsabilidades:La posición tiene como objetivo asegurar el mantenimiento electrónico de las terminales del sistema apuestas (Montevideo/Interior),  así como colaborar en el mantenimiento operativo del departamento de  Televisión, cumplir con los mantenimientos preventivos y correctivos, de manera de asegurar el correcto funcionamiento de las instalaciones y equipamientos a cargo.Requisitos:•	Formación en Electrónica (Estudiante avanzado/Egresado) •	Conocimiento de Programación con microcontroladores •	Manejo de Redes TCP/IP.También se valorará:•	Conocimiento de PCs/Informática y Ofimática •	Disponibilidad para viajes al Interior •	Flexibilidad Se ofrece: -	Cargo a cumplir en el Área de Tecnología Informática.-	Remuneración acorde.-	Posibilidades de Crecimiento","Oficios – Servicios Varios / Electrónica
									
										Especializaciones / Electrónica
									
										Tecnologías de la Información / Administración / Instalación de Redes
									
										Tecnologías de la Información / Hardware / Reparación PC
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Electrónica
									
										Ingeniería Electrónica   
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							Edad: Desde 18 Hasta 40 Años
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Vendedora/administrativa","www.buscojobs.com.uy/vendedoraadministrativa-ID-164698",2019-01-24 01:51:25,"Maria Victoria Decoración",NA,"Montevideo","Comercial / Ventas",1,"Medio turno tarde","Experiencia en ventas. Gusto por la decoración y el diseño. Conocimientos básicos de administración.","Comercio – Mercadeo – Ventas / Comercial / Ventas
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Venta en mostrador
									
										Stocks e inventarios de mercaderías
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							Edad: Desde 24 Hasta 35 Años
							
							
							
								
									Sexo: Femenino
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Auxiliar Contable","www.buscojobs.com.uy/auxiliar-contable-ID-164703",2019-01-24 01:51:25,"DEL SOL","Montevideo","Montevideo","Administración Contable y Financiera",1,"Completa","Buscamos un auxiliar contable. Conciliaciones, facturación, cargado de datos contables.","Administración – Secretariado / Administración Contable y Financiera
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Microsoft Excel
									
										Memory Fígaro
									
										Memory Conty
									
								Idiomas: 
							
							Inglés
								
							Estudio Mínimo Necesario: Terciario Incompleto
							
							
							Edad: Desde 20 Hasta 25 Años
							
							
							
								
							
						

						
					
					
				",2019-01-22,"martes"
"Pasantía - Asistente de Control Interno","www.buscojobs.com.uy/pasantia-asistente-de-control-interno-ID-164700",2019-01-24 01:51:25,"(Confidencial)",NA,"Montevideo","Auxiliar Administrativo",1,"Medio turno mañana","Realizará diversas tareas de control interno, así como conciliaciones Bancarias e ingreso de recibos. Brindará soporte en proyectos del área de control interno y soporte para la mejora de procesos.Llevará a cabo además otras tareas administrativas.","Administración – Secretariado / Auxiliar Administrativo
									
										Contabilidad – Auditoría – Finanzas / Auditoría
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Administración Contable y Financiera
									
										Auxiliar Contable
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							Edad: Desde 20 Hasta 25 Años
							
							
							
								
							
						

						
					
					
				",2019-01-22,"martes"
